#id: 11
#name: H.sapiens - Liver (Integrated)
#score: 5.95
#weight: 
#description: integrated dataset: weighted average of all H.sapiens LIVER datasets<br/><b>Interaction consistency score</b>: 5.95&nbsp<b>Coverage</b>: 65
#organ: LIVER
#integrated : true
#coverage: 65
#publication_year: 2017
#filename: 9606-LIVER-integrated.txt
#
#internal_id	string_external_id	abundance
1855144	9606.ENSP00000358965	0.002
1848483	9606.ENSP00000303057	11.3
1848008	9606.ENSP00000298942	14.2
1859503	9606.ENSP00000390621	0
1849362	9606.ENSP00000310891	0.299
1853137	9606.ENSP00000347170	0.293
1854128	9606.ENSP00000354487	0.626
1858345	9606.ENSP00000379228	4.76
1859401	9606.ENSP00000389103	373
1845638	9606.ENSP00000264895	0.526
1861398	9606.ENSP00000419119	9.42
1844875	9606.ENSP00000261254	0
1857328	9606.ENSP00000370443	0.076
1843350	9606.ENSP00000233535	2.96
1845766	9606.ENSP00000265529	1.62
1861684	9606.ENSP00000426528	4.61
1852330	9606.ENSP00000340474	1.71
1847788	9606.ENSP00000296785	0.138
1860688	9606.ENSP00000407818	0.008
1856373	9606.ENSP00000364912	1.18
1854434	9606.ENSP00000355672	17.1
1849874	9606.ENSP00000316482	2.22
1842802	9606.ENSP00000220809	2.84
1852023	9606.ENSP00000337641	6.92
1848955	9606.ENSP00000307423	3.42
1851354	9606.ENSP00000331514	3545
1842178	9606.ENSP00000013807	1.04
1853007	9606.ENSP00000346045	230
1858741	9606.ENSP00000382511	0.005
1846595	9606.ENSP00000278856	0.35
1854397	9606.ENSP00000355518	775
1845807	9606.ENSP00000265801	5.63
1851289	9606.ENSP00000330836	22.2
1855188	9606.ENSP00000359206	0.005
1860999	9606.ENSP00000413001	0.195
1848978	9606.ENSP00000307636	2.12
1855085	9606.ENSP00000358730	0.491
1855312	9606.ENSP00000359664	3.02
1848904	9606.ENSP00000307004	5.77
1843897	9606.ENSP00000248089	0.032
1847162	9606.ENSP00000289292	5.37
1857525	9606.ENSP00000371846	0.021
1853222	9606.ENSP00000347836	14.8
1843731	9606.ENSP00000244661	276
1845897	9606.ENSP00000266718	500
1844909	9606.ENSP00000261434	0.59
1856190	9606.ENSP00000363985	5.9
1849513	9606.ENSP00000312277	5.42
1850178	9606.ENSP00000319744	0.018
1852965	9606.ENSP00000345716	0.223
1852612	9606.ENSP00000342626	0.009
1855394	9606.ENSP00000360104	10.4
1856904	9606.ENSP00000367891	31.7
1848820	9606.ENSP00000306223	7.32
1858580	9606.ENSP00000381240	2.86
1860304	9606.ENSP00000401767	2.19
1849374	9606.ENSP00000311030	1.14
1846450	9606.ENSP00000275605	7.25
1842626	9606.ENSP00000216840	5.05
1854785	9606.ENSP00000357342	1.42
1846044	9606.ENSP00000268793	0.134
