#id: 182
#name: H.sapiens - Cell line, Hela (Geiger,MCP,2012)
#score: 15.68
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS, hela, from<a href="http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050" target="_blank">Geiger,MCP,2012</a><br/><b>Interaction consistency score</b>: 15.68&nbsp<b>Coverage</b>: 45
#organ: CELL_LINE
#integrated: false
#coverage: 45
#publication_year: 2012
#filename: 9606-iBAQ_HeLa_Geiger_2012_uniprot.txt
#
#internal_id	string_external_id	abundance
1848903	9606.ENSP00000306999	89.0
1851811	9606.ENSP00000335106	49.5
1860688	9606.ENSP00000407818	0
1853051	9606.ENSP00000346437	167
1863607	9606.ENSP00000461388	88.1
1854401	9606.ENSP00000355536	148
1859255	9606.ENSP00000387262	403
1843727	9606.ENSP00000244576	57.5
1858088	9606.ENSP00000376957	0
1859730	9606.ENSP00000393571	161
1845214	9606.ENSP00000262776	192
1854128	9606.ENSP00000354487	87.3
1844512	9606.ENSP00000257548	0
1845638	9606.ENSP00000264895	0
1863089	9606.ENSP00000457016	90.4
1852518	9606.ENSP00000341885	269
1843282	9606.ENSP00000231198	157
1843350	9606.ENSP00000233535	0
1845766	9606.ENSP00000265529	0
1856469	9606.ENSP00000365443	25.3
1849473	9606.ENSP00000311876	199
1861872	9606.ENSP00000431376	83.6
1848483	9606.ENSP00000303057	150
1861640	9606.ENSP00000424838	46.8
1843581	9606.ENSP00000240874	0
1851123	9606.ENSP00000329212	150
1849874	9606.ENSP00000316482	0
1859060	9606.ENSP00000385720	151
1842898	9606.ENSP00000222256	0
1852023	9606.ENSP00000337641	170
1848955	9606.ENSP00000307423	154
1851354	9606.ENSP00000331514	55.2
1854214	9606.ENSP00000354774	111
1853007	9606.ENSP00000346045	116
1842608	9606.ENSP00000216500	173
1858123	9606.ENSP00000377374	211
1855674	9606.ENSP00000361483	0
1848351	9606.ENSP00000301920	37.8
1858741	9606.ENSP00000382511	0
1846600	9606.ENSP00000278903	91.2
1854397	9606.ENSP00000355518	213
1845807	9606.ENSP00000265801	0
1850504	9606.ENSP00000323036	51.1
1857007	9606.ENSP00000368605	181
1854822	9606.ENSP00000357555	311
1844085	9606.ENSP00000251810	0
1844676	9606.ENSP00000259239	186
1857061	9606.ENSP00000368924	173
1855226	9606.ENSP00000359368	141
1855673	9606.ENSP00000361475	85.7
1843986	9606.ENSP00000250024	0
1853137	9606.ENSP00000347170	0
1850867	9606.ENSP00000326804	180
1853222	9606.ENSP00000347836	188
1843731	9606.ENSP00000244661	12.8
1855958	9606.ENSP00000362751	159
1856017	9606.ENSP00000363041	210
1859250	9606.ENSP00000387219	108
1844909	9606.ENSP00000261434	0
1849513	9606.ENSP00000312277	48.1
1846199	9606.ENSP00000271526	157
1857035	9606.ENSP00000368767	191
1855394	9606.ENSP00000360104	0
1847771	9606.ENSP00000296666	174
1845620	9606.ENSP00000264779	37.8
1848820	9606.ENSP00000306223	107
1857333	9606.ENSP00000370503	39.3
1851283	9606.ENSP00000330753	119
1853770	9606.ENSP00000351811	181
1846450	9606.ENSP00000275605	192
1842626	9606.ENSP00000216840	167
1851541	9606.ENSP00000333012	0
1845605	9606.ENSP00000264714	197
1855708	9606.ENSP00000361640	167
1851944	9606.ENSP00000336923	43.5
1860763	9606.ENSP00000409126	103
1848850	9606.ENSP00000306496	45.1
1862253	9606.ENSP00000443459	0
1855873	9606.ENSP00000362387	0
1845278	9606.ENSP00000263083	95.0
1854238	9606.ENSP00000354869	70.8
1858246	9606.ENSP00000378360	185
1856857	9606.ENSP00000367623	182
1853021	9606.ENSP00000346148	168
1856074	9606.ENSP00000363377	13.2
1853582	9606.ENSP00000350359	0
1842199	9606.ENSP00000029410	99.7
1851103	9606.ENSP00000329033	0
1855723	9606.ENSP00000361707	105
1845767	9606.ENSP00000265537	174
1856125	9606.ENSP00000363603	85.5
1854828	9606.ENSP00000357583	92.7
1855835	9606.ENSP00000362208	180
1850062	9606.ENSP00000318629	0
1845373	9606.ENSP00000263593	79.9
1863055	9606.ENSP00000456548	0
1846628	9606.ENSP00000279281	137
1850705	9606.ENSP00000325038	0
1861793	9606.ENSP00000429430	0
1850484	9606.ENSP00000322802	59.8
1864854	9606.ENSP00000472847	163
1854905	9606.ENSP00000357879	201
1853640	9606.ENSP00000350869	100
1843363	9606.ENSP00000233710	0
1857360	9606.ENSP00000370710	0
1857507	9606.ENSP00000371734	125
1861786	9606.ENSP00000429301	202
1846734	9606.ENSP00000281543	90.8
1850443	9606.ENSP00000322373	49.2
1858373	9606.ENSP00000379496	0
1844622	9606.ENSP00000258646	0
1855039	9606.ENSP00000358510	28.9
1858158	9606.ENSP00000377640	229
1853986	9606.ENSP00000353472	0
1856657	9606.ENSP00000366513	0
1861067	9606.ENSP00000414208	72.5
1852267	9606.ENSP00000339881	135
1847187	9606.ENSP00000289779	157
1854224	9606.ENSP00000354822	0
1843701	9606.ENSP00000244137	175
1852186	9606.ENSP00000339191	281
1845202	9606.ENSP00000262719	0
1859317	9606.ENSP00000387946	43.8
1849547	9606.ENSP00000312587	0
1857357	9606.ENSP00000370671	78.0
