#id: 451
#name: H.sapiens - Cell line, LnCap (Geiger,MCP,2012)
#score: 12.82
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS, LnCap, from<a href="http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050" target="_blank">Geiger,MCP,2012</a><br/><b>Interaction consistency score</b>: 12.82&nbsp<b>Coverage</b>: 45
#organ: CELL_LINE
#integrated: false
#coverage: 45
#publication_year: 2012
#filename: 9606-iBAQ_LnCap_Geiger_2012_uniprot.txt
#
#internal_id	string_external_id	abundance
1848903	9606.ENSP00000306999	0
1851811	9606.ENSP00000335106	138
1860688	9606.ENSP00000407818	91.9
1853051	9606.ENSP00000346437	158
1863607	9606.ENSP00000461388	93.0
1854401	9606.ENSP00000355536	145
1859255	9606.ENSP00000387262	329
1843727	9606.ENSP00000244576	0
1858088	9606.ENSP00000376957	0
1859730	9606.ENSP00000393571	102
1845214	9606.ENSP00000262776	50.4
1854128	9606.ENSP00000354487	0
1844512	9606.ENSP00000257548	101
1845638	9606.ENSP00000264895	0
1863089	9606.ENSP00000457016	103
1852518	9606.ENSP00000341885	261
1843282	9606.ENSP00000231198	143
1843350	9606.ENSP00000233535	0
1845766	9606.ENSP00000265529	0
1856469	9606.ENSP00000365443	0
1849473	9606.ENSP00000311876	189
1861872	9606.ENSP00000431376	97.1
1848483	9606.ENSP00000303057	46.0
1861640	9606.ENSP00000424838	0
1843581	9606.ENSP00000240874	33.8
1851123	9606.ENSP00000329212	41.3
1849874	9606.ENSP00000316482	0
1859060	9606.ENSP00000385720	131
1842898	9606.ENSP00000222256	76.5
1852023	9606.ENSP00000337641	164
1848955	9606.ENSP00000307423	175
1851354	9606.ENSP00000331514	24.8
1854214	9606.ENSP00000354774	175
1853007	9606.ENSP00000346045	108
1842608	9606.ENSP00000216500	210
1858123	9606.ENSP00000377374	217
1855674	9606.ENSP00000361483	70.3
1848351	9606.ENSP00000301920	0
1858741	9606.ENSP00000382511	0
1846600	9606.ENSP00000278903	149
1854397	9606.ENSP00000355518	217
1845807	9606.ENSP00000265801	0
1850504	9606.ENSP00000323036	175
1857007	9606.ENSP00000368605	188
1854822	9606.ENSP00000357555	301
1844085	9606.ENSP00000251810	150
1844676	9606.ENSP00000259239	171
1857061	9606.ENSP00000368924	0
1855226	9606.ENSP00000359368	93.3
1855673	9606.ENSP00000361475	77.0
1843986	9606.ENSP00000250024	0
1853137	9606.ENSP00000347170	73.9
1850867	9606.ENSP00000326804	171
1853222	9606.ENSP00000347836	170
1843731	9606.ENSP00000244661	6.51
1855958	9606.ENSP00000362751	167
1856017	9606.ENSP00000363041	211
1859250	9606.ENSP00000387219	158
