REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
ACALDtx,NaN,NaN
ACCOACm,0.0001100729,NaN
ACCOAgt,NaN,NaN
ACCOALm,0.0007665045,NaN
ACCOAtn,NaN,NaN
ACCOAtr,NaN,NaN
ACETONEt2,NaN,NaN
ACETONEt2m,NaN,NaN
ACGAGBSIDEtg,NaN,NaN
ACGAGBSIDEtl,NaN,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,NaN,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,NaN,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,NaN,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN,NaN
ACGALK,NaN,NaN
ACGALK2,NaN,NaN
ACGALtlg,NaN,NaN
ACGALtly,NaN,NaN
ACGAM6PSi,0.0231232897,NaN
ACGAMK,0.0000217680,NaN
ACGAMPM,0.0057424331,0.0057424331
ACGAMtly,NaN,NaN
ACGBGBSIDEtg,NaN,NaN
ACGBGBSIDEtl,NaN,NaN
ACGPID,0.0002088554,NaN
ACGSm,0.0000468404,NaN
ACHEe,0.1750065082,NaN
ACHtn,NaN,NaN
ACHVESSEC,NaN,NaN
ACITL,1.2968362229,NaN
ACN13ACNGALGBSIDEte,NaN,NaN
ACN13ACNGALGBSIDEtg,NaN,NaN
ACN23ACNGALGBSIDEte,NaN,NaN
ACN23ACNGALGBSIDEtg,NaN,NaN
ACNACNGAL14ACGLCGALGLUSIDEte,NaN,NaN
ACNACNGAL14ACGLCGALGLUSIDEtg,NaN,NaN
ACNACNGALGBSIDEte,NaN,NaN
ACNACNGALGBSIDEtg,NaN,NaN
ACNAM9PL,0.3193185753,NaN
ACNAM9PL2,0.3193185753,NaN
ACNAMlt,NaN,NaN
ACNAMPH,0.0688701846,NaN
ACNAMtn,NaN,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,NaN,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN,NaN
ACNMLr,NaN,NaN
ACOAD10m,0.0048751825,NaN
ACOAD1fm,91.3024574770,NaN
ACOAD8m,105.5490015412,NaN
ACOAD9m,5.7979821691,NaN
ACOAHi,0.0000204826,NaN
ACOAO7p,0.0081991704,NaN
ACODA,29.0308138450,NaN
ACONTm,0.0345587731,0.0071725755
ACOX22x,NaN,NaN
ACOX2x,NaN,NaN
ACP1_FMN_,12.0064489408,NaN
ACRNtm,NaN,NaN
ACS2,0.0131735027,NaN
ACSm,0.3297460000,NaN
ACSOMT,0.0000019775,NaN
ACSRTNMT,0.0000019775,NaN
ACt2m,NaN,NaN
ACt2r,NaN,NaN
ACtg,NaN,NaN
ACTLMO,NaN,NaN
ACTNMO,NaN,NaN
ADA,0.0107369268,NaN
ADAe,0.0076053231,NaN
ADCim,NaN,NaN
ADEt,NaN,NaN
ADEtl,NaN,NaN
ADHAPtx,NaN,NaN
ADK1m,21.0136372206,9.5605333781
ADK3,0.0049774622,0.0046286852
ADK3m,NaN,NaN
ADKd,0.0050872908,0.0050892138
ADMDC,0.0011585827,NaN
ADNCYC,7.0511509240,NaN
ADNK1m,NaN,NaN
ADNt,NaN,NaN
ADNt4,NaN,NaN
ADNtl,NaN,NaN
ADNtm,NaN,NaN
ADPGLC,0.0433540171,NaN
ADPMAN,0.0372358789,NaN
ADPRDPm,0.0154078450,NaN
ADPRIBt,NaN,NaN
ADPtx,NaN,NaN
ADRNCOAtx,NaN,NaN
ADRNCPT1,0.0188148097,3.3431983205
ADRNCPT2,3.0677947202,0.0172648968
ADRNCRNt,NaN,NaN
ADRNLPVESSEC,NaN,NaN
ADRNt,NaN,NaN
ADSELK,0.0146379755,NaN
ADSK,0.0146379755,NaN
ADSL1,0.0396820705,NaN
ADSL2,0.0402041500,NaN
AFLATOXINte,NaN,NaN
AG13T10g,0.0007805265,NaN
AG13T11g,0.0007805265,NaN
AG13T12g,0.0007805265,NaN
AG13T13g,0.0007805265,NaN
AG13T14g,0.0007805265,NaN
AG13T15g,0.0007805265,NaN
AG13T16g,0.0007805265,NaN
AG13T17g,0.0007805265,NaN
AG13T18g,0.0007805265,NaN
AG13T1g,0.0007805265,NaN
AG13T2g,0.0007805265,NaN
AG13T3g,0.0007805265,NaN
AG13T4g,0.0007805265,NaN
AG13T5g,0.0007805265,NaN
AG13T6g,0.0007805265,NaN
AG13T7g,0.0007805265,NaN
AG13T8g,0.0007805265,NaN
AG13T9g,0.0007805265,NaN
AGLPC,NaN,NaN
AGLPED,NaN,NaN
AGLPET,NaN,NaN
AGLPH,NaN,NaN
AGLPR,NaN,NaN
AGLPT,NaN,NaN
AGMTm,0.0013132251,NaN
AGPAT1,0.0066543299,NaN
AGPex,NaN,NaN
AGPRim,3.5217754532,NaN
AGPSx,0.0384730713,NaN
AGTim,0.0010807338,NaN
AGTix,0.0001395957,NaN
AHANDROSTANGLCte,NaN,NaN
AHANDROSTANGLCtr,NaN,NaN
AHCYStn,NaN,NaN
AHCYStr,NaN,NaN
AHEXASE2ly,0.0189037100,NaN
AHEXASEly,0.0189037100,NaN
AIRCr,0.0896338046,0.0896338046
AKGDm,0.9417495104,NaN
AKGMALtm,NaN,NaN
AKGt4_3,NaN,NaN
AKGtp,NaN,NaN
AKR1C1,0.0000064722,NaN
AKR1C41,NaN,NaN
AKR1C42,NaN,NaN
AKR1D,NaN,NaN
AKR1D2,NaN,NaN
ALAASNNaEx,NaN,NaN
ALACYSNaEx,NaN,NaN
ALADGLNexR,NaN,NaN
ALADGLYexR,NaN,NaN
ALAGLNexR,NaN,NaN
ALAGLNNaEx,NaN,NaN
ALAGLYexR,NaN,NaN
ALASERNaEx,NaN,NaN
ALASm,0.0014030213,NaN
ALAt2rL,NaN,NaN
ALAt4,NaN,NaN
ALATA_L,0.0452512319,0.0439132596
ALATHRNaEx,NaN,NaN
ALAtN1,NaN,NaN
ALCD21_D,0.0353677731,NaN
ALCD21_L,0.0353677731,NaN
ALCD22_D,0.4771588159,NaN
ALCD22_L,0.1220854091,NaN
ALCD2if,0.0084349919,NaN
ALCD2yf,0.0533175486,NaN
ALDD20x,0.0130688628,NaN
ALDD20xm,0.2005912051,NaN
ALDD21,NaN,NaN
ALDD2xm,0.1267379925,NaN
ALDD2y,0.5386154257,NaN
ALDSTRNte,NaN,NaN
ALDSTRNtm,NaN,NaN
ALKP,0.0223498987,NaN
ALOX12,0.0000671305,NaN
ALOX12R,0.0000192443,NaN
ALOX15,0.0000188059,NaN
ALOX5,0.0013771530,NaN
ALOX52,0.0046108650,NaN
ALR2,1.5284681316,NaN
ALR3,0.1093146474,NaN
AMACR2p,NaN,NaN
AMACR2r,NaN,NaN
AMACRp,NaN,NaN
AMACRr,NaN,NaN
AMCOXO,NaN,NaN
AMETr,NaN,NaN
AMETt2m,NaN,NaN
AMETtn,NaN,NaN
AMPDA,0.1534398175,NaN
AMPTASECGe,0.7877113843,NaN
AMPtp,NaN,NaN
AMPtr,NaN,NaN
AMY1e,0.0022928104,NaN
AMY2e,1.0302105072,NaN
ANDRSTRNGLCte,NaN,NaN
ANDRSTRNGLCtr,NaN,NaN
ANDRSTRNte,NaN,NaN
ANDRSTRNtr,NaN,NaN
ANTIPYRENEte,NaN,NaN
AOBUTDsm,NaN,NaN
AP4AH1,0.0157325487,NaN
APAT2rm,0.0002227429,0.0312188555
