	c	e	g	l	m	n	r	x	i
10	4.7	0	0	0	0.7	1.4	0	0	0
100	4.8	3.4	0	5.0	1.4	2.4	0	1.4	0
10000	4.0	1.0	1.7	0.2	0.9	4.0	0	0.3	0
10005	4.4	1.2	0	0	1.8	1.8	0	5.0	0
10007	4.6	0.9	0	0	0	1.4	0	0	0
100137049	5.0	5.0	0	0	5.0	0	0	0	0
10020	4.7	0.6	0	0	2.0	1.6	0	0.3	0
10026	0	0	0	2.0	0	0	5.0	0	0
100287513	0	0	0	0	0	3.0	3.0	0	0
100287639	-1	-1	-1	-1	-1	-1	-1	-1	-1
100288072	0.7	0	0	0	0.7	0.7	0.4	1.1	0
10038	0.3	0	0	0	1.3	5.0	0	0	0
10039	1.9	0.2	0	0	0	4.2	0	0.3	0
10050	0	0	0	3.0	0	0	0	0	0
100526794	-1	-1	-1	-1	-1	-1	-1	-1	-1
100529261	-1	-1	-1	-1	-1	-1	-1	-1	-1
10054	0.9	0	0	0	0	5.0	0	0.6	0
10055	1.7	0	0	0	0.9	5.0	0	0	0
10056	4.7	0	0	0	0	1.4	0	0	0
10057	0	0.9	0	0	0	0.5	0	0.8	0
10058	4.2	0.9	5.0	1.0	5.0	4.1	5.0	0	0
10060	1.6	0	0	0	0	1.8	0	0	0
10075	4.7	4.0	0	0	0.7	4.5	0	0	0
10076	0	2.3	0	0.3	0	0.7	0.3	0.4	0
10087	4.1	0.9	5.0	0	2.3	4.6	4.4	0	0
10090	0	0.9	4.3	0	2.0	1.2	0.9	0	0
100996939	3.0	0.5	0	0	4.1	2.8	4.0	0	0
10105	1.6	0.7	0	0	5.0	0.8	1.1	1.2	0.8
10106	1.7	0.6	0	0	0	4.3	0	0	0
10110	4.3	0.5	0	0	0	4.4	0	0	0
10114	4.5	0	0	0	0.6	4.5	0.3	0	0
10130	4.3	5.0	0.3	0.5	0.3	0	4.8	0.3	0
10134	4.3	1.2	2.7	0	3.0	0	5.0	0.6	0
10135	4.5	2.2	0	0	1.8	4.5	0.8	1.6	0
10157	0	0	0	0	4.4	0.5	0	0	0
10162	0.7	0.8	0	0	0	0	4.2	0	0
10164	0	1.8	5.0	0.4	0.2	0	0	0.4	0
10165	2.5	0	0	0	5.0	1.2	0.3	0.8	0.7
10166	1.6	0.3	0	0	4.4	1.7	0.3	0.5	0
1017	4.7	1.8	0	0	2.1	5.0	0.9	1.8	0
10170	1.9	1.2	0	0	0.8	1.2	5.0	0	0
10171	1.7	0	0	0	2.1	4.4	0	0	0
1018	0	0	0	0	0	3.3	0	0	0
10188	3.3	0	0	0.5	0	5.0	0	0	0
1019	5.0	1.7	0	0	2.5	5.0	0.6	0.6	0
10193	4.3	0	0	0.5	0.6	3.4	4.0	0	0
10195	0	0	2.5	0	0	0	5.0	0	0
1020	4.8	2.0	0	0.6	2.0	5.0	1.1	0	0
10201	1.7	0.3	0	0	5.0	1.3	0	1.1	0
10202	0.8	0	0	0	5.0	5.0	0	0.8	0
1021	4.7	1.3	0	0	1.5	4.7	0	0	0
10210	1.5	0	0	0	0	5.0	0	0	0
10217	2.0	0.3	0	0	0	4.1	0	0	0
1022	3.2	0	0	0	2.0	5.0	0	0.2	0
10226	4.7	0	4.4	1.0	0.7	1.2	1.0	0.5	0
10229	1.5	0	0	0	4.7	4.0	0	0	0
1024	1.1	0.5	0	0	0.6	5.0	0	0	0
10243	4.1	0.6	0	0	0	1.5	0	0	0
10246	0	0	0.2	3.0	0	0	0.7	0	0
