REACTION,KCAT [1/hr],STEP
EX_fucacngalacglcgalgluside_hs[e],,
EX_fucfuc12gal14acglcgalgluside_hs[e],,
EX_fucfuc132galacglcgal14acglcgalgluside_hs[e],,
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],,
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],,
EX_fucfucgalacglcgalgluside_hs[e],,
EX_fucgal14acglcgalgluside_hs[e],,
EX_fucgalfucgalacglcgalgluside_hs[e],,
EX_fucgalgbside_hs[e],,
EX_fuc_L[e],,
EX_galacglcgalgbside_hs[e],,
EX_galfuc12gal14acglcgalgluside_hs[e],,
EX_galfucgalacglcgal14acglcgalgluside_hs[e],,
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e],,
EX_galgalgalthcrm_hs[e],,
EX_gbside_hs[e],,
EX_gchola[e],,
EX_gd1b2_hs[e],,
EX_gd1c_hs[e],,
EX_gdp[e],,
EX_gluala[e],,
EX_glyc_S[e],,
EX_glygn2[e],,
EX_glygn4[e],,
EX_glygn5[e],,
EX_gmp[e],,
EX_gp1c_hs[e],,
EX_gp1calpha_hs[e],,
EX_gq1b_hs[e],,
EX_gq1balpha_hs[e],,
EX_gsn[e],,
EX_gt1a_hs[e],,
EX_gthox[e],,
EX_gthrd[e],,
EX_gtp[e],,
EX_h2o2[e],,
EX_ha[e],,
EX_ha_pre1[e],,
EX_hco3[e],,
EX_hcoumarin[e],,
EX_hdca[e],,
EX_hdcea[e],,
EX_hestratriol[e],,
EX_hexc[e],,
EX_hista[e],,
EX_hom_L[e],,
EX_hpdca[e],,
EX_hspg[e],,
EX_htaxol[e],,
EX_i[e],,
EX_idp[e],,
EX_imp[e],,
EX_inost[e],,
EX_ksi[e],,
EX_ksi_deg1[e],,
EX_ksii_core2[e],,
EX_ksii_core4[e],,
EX_lac_D[e],,
EX_Lcystin[e],,
EX_leuktrA4[e],,
EX_leuktrB4[e],,
EX_leuktrC4[e],,
EX_leuktrD4[e],,
EX_leuktrE4[e],,
EX_leuktrF4[e],,
EX_lgnc[e],,
EX_limnen[e],,
EX_lipoate[e],,
EX_lneldc[e],,
EX_lnlc[e],,
EX_lnlnca[e],,
EX_lnlncg[e],,
EX_lpchol_hs[e],,
EX_mag_hs[e],,
EX_meoh[e],,
EX_mercplaccys[e],,
EX_mthgxl[e],,
EX_n2m2nmasn[e],,
EX_nad[e],,
EX_nadp[e],,
EX_ncam[e],,
EX_nifedipine[e],,
EX_no[e],,
EX_npthl[e],,
EX_nrpphr[e],,
EX_nrpphrsf[e],,
EX_nrvnc[e],,
EX_o2s[e],,
EX_oagd3_hs[e],,
EX_oagt3_hs[e],,
EX_ocdca[e],,
EX_ocdcea[e],,
EX_octa[e],,
EX_omeprazole[e],,
EX_onpthl[e],,
EX_oxa[e],,
EX_paf_hs[e],,
EX_pchol_hs[e],,
EX_pe_hs[e],,
EX_peplys[e],,
EX_perillyl[e],,
EX_pglyc_hs[e],,
EX_pheacgln[e],,
EX_phyQ[e],,
EX_phyt[e],,
EX_prgstrn[e],,
EX_pro_D[e],,
EX_prostgd2[e],,
EX_prostge1[e],,
EX_prostge2[e],,
EX_prostgf2[e],,
EX_ps_hs[e],,
EX_ptdca[e],,
EX_rbt[e],,
EX_retfa[e],,
EX_retinol[e],,
EX_retinol_9_cis[e],,
EX_retinol_cis_11[e],,
EX_retn[e],,
EX_retnglc[e],,
EX_Rtotal[e],,
EX_Rtotal2[e],,
EX_Rtotal3[e],,
EX_s2l2fn2m2masn[e],,
EX_s2l2n2m2masn[e],,
EX_sarcs[e],,
EX_sel[e],,
EX_ser_D[e],,
EX_sl_L[e],,
EX_spc_hs[e],,
EX_sph1p[e],,
EX_sphs1p[e],,
EX_srtn[e],,
EX_strch1[e],,
EX_strch2[e],,
EX_strdnc[e],,
EX_tag_hs[e],,
EX_tagat_D[e],,
EX_taxol[e],,
EX_tchola[e],,
EX_tcynt[e],,
EX_tdchola[e],,
EX_tethex3[e],,
EX_tetpent3[e],,
EX_tetpent6[e],,
EX_tettet6[e],,
EX_thf[e],,
EX_thmmp[e],,
EX_thmtp[e],,
EX_thym[e],,
EX_thyox_L[e],,
EX_tmndnc[e],,
EX_tolbutamide[e],,
EX_triodthy[e],,
EX_triodthysuf[e],,
EX_tststerone[e],,
EX_tststeroneglc[e],,
EX_tststerones[e],,
EX_tsul[e],,
EX_ttdca[e],,
EX_txa2[e],,
EX_tymsf[e],,
EX_Tyr_ggn[e],,
EX_udp[e],,
EX_ump[e],,
EX_urate[e],,
EX_utp[e],,
EX_vacc[e],,
EX_vitd2[e],,
EX_vitd3[e],,
EX_whddca[e],,
EX_whhdca[e],,
EX_whtststerone[e],,
EX_whttdca[e],,
EX_xolest_hs[e],,
EX_xolest2_hs[e],,
EX_xoltri24[e],,
EX_xoltri25[e],,
EX_xoltri27[e],,
EX_xylt[e],,
EX_yvite[e],,
F1Atg,,
F1PGT,3210.377746,8
F6Tg,,
FA120ACPH,427552.0821,20
FA140ACPH,427552.0821,20
FA141ACPH,295713.0447,20
FA160ACPH,427552.0821,20
FA161ACPH,295713.0447,20
FA180ACPH,427552.0821,20
FA181ACPH,295713.0447,20
FA1821ACPH,347080.6199,20
FA1822ACPH,347080.6199,20
FA182ACPH,347080.6199,20
FACOAL140i,,
FACOAL150,104.4,11
FACOAL160i,,
FACOAL170,104.4,11
FACOAL180i,,
FACOAL1812,104.4,11
FACOAL1813,104.4,11
FACOAL181i,,
FACOAL1821,104.4,11
FACOAL1822,104.4,11
FACOAL1831,104.4,11
FACOAL1832,104.4,11
FACOAL184,104.4,11
FACOAL191,,
FACOAL200,,
FACOAL203,104.4,11
FACOAL204,104.4,11
FACOAL2042,104.4,11
FACOAL205,104.4,11
FACOAL206,104.4,11
FACOAL224,104.4,11
FACOAL2251,104.4,11
FACOAL2252,104.4,11
FACOAL226,104.4,11
FACOAL240,,
FACOAL241,,
FACOAL244_1,104.4,11
FACOAL245_1,104.4,11
FACOAL245_2,104.4,11
FACOAL246_1,,
FACOAL260,104.4,11
FACOAL40im,,
FACOAL80i,,
FADDP,,
FADH2tru,,
FADH2tx,,
FADtru,,
FADtx,,
FAEL183,,
FAEL184,,
FAEL204,,
FAEL205,,
FAH1,,
FAH2,,
FAH3,,
FALDH,174096,17
FALDtly,,
FALDtm,,
FAOXC11,,
FAOXC140,,
FAOXC150m,,
FAOXC160,,
FAOXC16080m,,
FAOXC16080x,,
FAOXC161802m,,
FAOXC16180m,,
FAOXC170m,,
FAOXC180,,
FAOXC180x,,
FAOXC1811601m,,
FAOXC1811602m,,
FAOXC1811603m,,
FAOXC182806m,,
FAOXC18280m,,
FAOXC183803m,,
FAOXC183806m,,
FAOXC183806x,,
FAOXC18480m,,
FAOXC18480x,,
FAOXC200180m,,
FAOXC200180x,,
FAOXC2031836m,,
FAOXC204,,
FAOXC204184m,,
FAOXC2051843m,,
FAOXC2051843x,,
FAOXC2242046m,,
FAOXC2242046x,,
FAOXC2251836m,,
FAOXC2251836x,,
FAOXC2252053m,,
FAOXC2252053x,,
FAOXC226,,
FAOXC226205m,,
FAOXC226205x,,
FAOXC240200x,,
FAOXC241181x,,
FAOXC2442246x,,
FAOXC2452253x,,
FAOXC2452256x,,
FAOXC246226x,,
FAOXC260240x,,
FAOXC80,,
FAS100COA,,
FAS120COA,,
FAS140COA,,
FAS160COA,,
FAS180COA,,
FAS80COA_L,,
FATP1t,,
FATP2t,,
FATP3t,,
FATP4t,,
FATP5t,,
FATP6t,,
FATP7t,,
FATP8t,,
FATP9t,,
FBA4,7.2,5
FBA5,7.2,5
FBP26,,
FCLTm,,
FCOAH,,
FDH,,
FE2t,,
FE2tm,,
FE3R2e,,
FK,,
FKYNH,,
FOLR2,,
FOLt2,,
FORMCOAtx,,
FORt2m,,
FORtr,,
FORtrn,,
FPGS2,,
FPGS2m,,
FPGS3,,
FPGS3m,,
FPGS4,,
FPGS4m,,
FPGS5,,
FPGS5m,,
FPGS6,,
FPGS6m,,
FPGS7m,,
FPGS8,,
FPGS8m,,
FPGS9,,
FPGS9m,,
FPGSm,,
FRDPtc,,
FRDPtr,,
FRUt1r,,
FTHFDH,,
FTHFLm,,
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,,
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,
FUC14GALACGLCGALGLUSIDEte,,
FUC14GALACGLCGALGLUSIDEtg,,
FUCACGALFUCGALACGLCGALGLUSIDEte,,
FUCACGALFUCGALACGLCGALGLUSIDEtg,,
FUCACNGAL14ACGLCGALGLUSIDEte,,
FUCACNGAL14ACGLCGALGLUSIDEtg,,
FUCACNGALACGLCGALGLUSIDEte,,
FUCACNGALACGLCGALGLUSIDEtg,,
FUCASE2e,,
FUCASE2ly,,
FUCASEe,,
FUCASEly,,
FUCFUC12GAL14ACGLCGALGLUSIDEte,,
FUCFUC12GAL14ACGLCGALGLUSIDEtg,,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
FUCFUCGALACGLCGALGLUSIDEte,,
FUCFUCGALACGLCGALGLUSIDEtg,,
FUCGAL14ACGLCGALGLUSIDEte,,
FUCGAL14ACGLCGALGLUSIDEtg,,
FUCGALFUCGALACGLCGALGLUSIDEte,,
FUCGALFUCGALACGLCGALGLUSIDEtg,,
FUCGALGBSIDEte,,
FUCGALGBSIDEtg,,
FUCtly,,
FUMAC,,
FUMm,1596600,5
FUMSO3tm,,
FUMSO4tm,,
FUMtm,,
FUMTSULtm,,
FUT11g,,
FUT12g,,
FUT14g,,
FUT15g,,
FUT16g,,
FUT17g,,
FUT18g,,
FUT31g,,
FUT32g,,
FUT33g,,
FUT34g,,
FUT35g,,
FUT910g,,
FUT911g,,
FUT91g,,
FUT92g,,
FUT93g,,
FUT94g,,
FUT95g,,
FUT96g,,
FUT97g,,
FUT98g,,
FUT99g,,
G12MT1_L,,
G12MT1_U,,
G12MT2_L,,
G12MT2_U,,
G13MT_L,,
G13MT_U,,
G14T10g,,
G14T11g,,
G14T12g,,
G14T13g,,
G14T14g,,
G14T15g,,
G14T16g,,
G14T17g,,
G14T18g,,
G14T19g,,
G14T20g,,
G14T21g,,
G14T2g,,
G14T3g,,
G14T4g,,
G14T5g,,
G14T6g,,
G14T7g,,
G14T8g,,
G14T9g,,
G14Tg,,
G16MT_L,,
G16MT_U,,
G1M6MASNB1terg,,
G1M7MASNBterg,,
G1M7MASNCterg,,
G1M8MASNterg,,
G2M8MASNterg,,
G3M8MASNterg,,
G3PD2m,,
G5SADrm,2577.849315,8
G5SDym,,
G6PDH1rer,162438495.7,11
G6PDH2rer,158091333.7,11
G6PPer,,
G6Pter,,
GABAVESSEC,,
GACMTRc,4751.76,12
GACPAILter,,
GAL3ST11,,
GAL3ST12,,
GALACGLCGALGBSIDEte,,
GALACGLCGALGBSIDEtg,,
GALASE10ly,,
GALASE11ly,,
GALASE12ly,,
GALASE13ly,,
GALASE14ly,,
GALASE15ly,,
GALASE16ly,,
GALASE17ly,,
GALASE18ly,,
GALASE19ly,,
GALASE1ly,,
GALASE20ly,,
GALASE3ly,,
GALASE4ly,,
GALASE5ly,,
GALASE6ly,,
GALASE7ly,,
GALASE8ly,,
GALASE9ly,,
GALC,,
GALFUC12GAL14ACGLCGALGLUSIDEte,,
GALFUC12GAL14ACGLCGALGLUSIDEtg,,
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,,
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
GALGALGALTHCRMte,,
GALGALGALTHCRMtg,,
GALGLUSIDEtg,,
GALGLUSIDEtl,,
GALGT1,,
GALGT2,,
GALGT3,,
GALGT4,,
GALNACT1g,,
GALNACT2g,,
GALNACT3g,,
GALNACT4g,,
GALNACT5g,,
GALNTg,,
GALOR,38338.71045,8
GALSIDEtg,,
GALSIDEtl,,
GALt1r,,
GALT2g,,
GALTg,,
GALtly,,
GAMt1r,,
GAMYe,,
GAO1,,
GAO1g,,
GAO2,,
GAO2g,,
GARFT,2953.596812,9
GASNASE2ly,,
GASNASE3ly,,
GASNASEly,,
GBA,,
GBAl,,
GBGT1,,
GBSIDEte,,
GBSIDEtl,,
GCALDDm,,
GCC2am,45337.75281,12
GCC2bim,,
GCC2cm,46910.15056,12
GCCam,46376.42365,12
GCCbim,,
GCCcm,46910.15056,12
GCHOLAt,,
GCHOLAt2,,
GCHOLAte,,
GCHOLAtx,,
GCNTg,,
GD1B2te,,
GD1B2tg,,
GD1Cte,,
GD1Ctg,,
GDPFUCtg,,
GDPtg,,
GFUCS,,
GGH_10FTHF5GLUe,,
GGH_10FTHF5GLUl,,
GGH_10FTHF6GLUe,,
GGH_10FTHF6GLUl,,
GGH_10FTHF7GLUe,,
GGH_10FTHF7GLUl,,
GGH_5DHFe,,
GGH_5DHFl,,
GGH_5THFe,,
GGH_5THFl,,
GGH_6DHFe,,
GGH_6DHFl,,
GGH_6THFe,,
GGH_6THFl,,
GGH_7DHFe,,
GGH_7DHFl,,
GGH_7THFe,,
GGH_7THFl,,
GGLUCT,,
GGNG,,
GGT_L,,
GGT_U,,
GGT5r,4140000,9
GGT6,4140000,9
GHMT2rm,30600,8
GHMT3,,
GHMT3m,,
GK1m,,
GLACO,,
GLACOm,,
GLACter,,
GLAl,,
GLB1,,
GLBRAN,,
GLCAASE1ly,,
GLCAASE4ly,,
GLCAASE5ly,,
GLCAASE6ly,,
GLCAASE7ly,,
GLCAASE8ly,,
GLCAASE9ly,,
GLCAE1g,,
GLCAE2g,,
GLCAT2g,,
GLCAT3g,,
GLCAT4g,,
GLCAT5g,,
GLCAT6g,,
GLCAT7g,,
GLCAT8g,,
GLCAT9g,,
GLCATg,,
GLCMter,,
GLCNACASE1ly,,
GLCNACASE2ly,,
GLCNACASE3ly,,
GLCNACASE4ly,,
GLCNACASE5ly,,
GLCNACDASg,,
GLCNACPT_L,,
GLCNACPT_U,,
GLCNACT_L,,
GLCNACT_U,,
GLCNACT1g,,
GLCNACT2g,,
GLCNACT3g,,
GLCNACT4g,,
GLCNACT5g,,
GLCt1r,,
GLCt2_2,,
GLCter,,
GLCtg,,
GLCtly,,
GLCURter,,
GLCURtly,,
GLDBRAN,,
GLGNS1,,
GLNALANaEx,,
GLNASNNaEx,,
GLNCYSNaEx,,
GLNLASEer,3744000,6
GLNSERNaEx,,
GLNTHRNaEx,,
GLNtm,,
GLNtN1,,
GLPASE1,,
GLPASE2,,
GLRASE,160922.16,14
GLU5Km,,
GLUCYS,,
GLUDC,,
GLUDxm,421200,2
GLUDym,140994,5
GluForTx,,
GLUNm,,
GLUt2m,,
GLUt6,,
GLUt7l,,
GLUTCOADHm,,
GLUtr,,
GLUVESSEC,,
GLXO2p,,
GLXtm,,
GLXtp,,
GLYAMDTRc,339120,29
GLYATm,5225400,17
GLYBt4_2_r,,
GLYBtm,,
GLYC3Ptm,,
GLYCK2,,
GLYCLTDy,,
GLYCLTDym,,
GLYCLTtp,,
GLYC_St,,
GLYCtm,,
GLYCTO1p,,
GLYKm,,
GLYOp,,
GLYOXm,,
GLYt2rL,,
GLYt4,,
GLYt7_211_r,,
GLYtm,,
GLYtp,,
GLYVESSEC,,
GMPtg,,
GMPtn,,
GNDer,,
GNMT,,
GP1CALPHAte,,
GP1CALPHAtg,,
GP1Cte,,
GP1Ctg,,
GPAM_hs,,
GPAMm_hs,,
GPIAT,,
GPIDA2er,,
GPIDAer,,
GPIMTer_L,,
GPIMTer_U,,
GQ1BALPHAte,,
GQ1BALPHAtg,,
GQ1Bte,,
GQ1Btg,,
GRTTx,,
GSNKm,,
GSNt,,
GSNt4,,
GSNtl,,
GSNtm,,
GT1Ate,,
GT1Atg,,
GTHDH,,
GTHO,,
GTHOm,,
GTHP,,
GTHPe,,
GTHPm,,
GTHRDt,,
GTHRDtr,,
GTHS,,
GTMLTe,,
GTPCIn,,
GTPtn,,
GUACYC,,
GUAD,,
GULLACter,,
GULN3D,18239.58,12
GULNDer,391109.2303,14
GULNter,,
GUR1PP,,
H2CO3Dm,,
H2ETer,,
H2MTer_L,,
H2MTer_U,,
H2O2syn,,
H2O2t,,
H2O2tly,,
H2O2tm,,
H2O2tn,,
H2O2tp,,
H2Oter,,
H2Otg,,
H2Otly,,
H2Otm,,
H2Otn,,
H2Otp,,
H3ETer,,
H3MTer_L,,
H3MTer_U,,
H4ET3er,,
H4ETer,,
H5MTer_L,,
H5MTer_U,,
H6_ET2er,,
H6ET3er,,
H6_ETer,,
H6MTer_L,,
H6MTer_U,,
H7ET2er,,
H7_ETer,,
H7MTer_L,,
H7MTer_U,,
H7_TAer,,
H8MTer_L,,
H8MTer_U,,
H8TAer,,
HACD1m,2932992,3
HACD1x,3328740,3
HACD9m,636120,3
HAS1,,
HAS2,,
HAtly,,
HBZOPT10m,,
HCO3_CLt,,
HCOUMARINte,,
HDCAter,,
HDCAtr,,
HDCEAtr,,
HDD2COAtx,,
HESTRATRIOLte,,
HESTRATRIOLtr,,
HEX10,,
HEX4,,
HEXCCOAtx,,
HEXCCPT1,5225400,17
HEXCCPT2,,
HEXCCRNt,,
HEXCt,,
HGNTOR,,
HIBDm,133657.7056,11
HISDC,,
HISt4,,
HISTASE,,
HISTAtu,,
HISTAVESSEC,,
HIStiDF,,
HIStN1,,
HKt,,
HKYNH,,
HMGCOARr,,
HMGCOASi,,
HMGCOASim,,
HMGCOAtm,,
HMGCOAtx,,
HMGLm,,
HMGLx,,
HOMt4,,
HOXG,,
HPACtr,,
HPCLx,,
HPDCACRNCPT1,5225400,17
HPDCACRNCPT2,395050.0604,22
HPDCACRNt,477119.3578,19
HPDCAt,,
HPYRDC,,
HPYRDCm,,
HPYRR2x,,
HPYRRy,,
HPYRtp,,
HRETNtn,,
HS1ly,,
HS2ly,,
HS3ly,,
HS4ly,,
HSAT1ly,,
HSAT2ly,,
HSAT3ly,,
HSAT4ly,,
HSD11B1r,684,2
HSD11B2r,115200,5
HSD17B1,1800,2
HSD17B2r,,
HSD17B42x,,
HSD17B4x,,
HSD17B7r,,
HSD17B8r,,
HSD17B9r,,
HSD3A1r,29579.004,14
HSD3A2r,249461.0084,14
HSD3B11,,
HSD3B11r,,
HSD3B12r,,
HSD3B13,,
HSD3B13r,,
HSD3B2r,,
HSD3B3r,,
HSD3B7P,,
HSPASEly,,
HSPGt,,
HSPGtly,,
HTAXOLte,,
Htg,,
Htr,,
Htx,,
HXANtl,,
HXANtx,,
HYPOE,,
HYPTROX,,
ICDHxm,,
ICDHy,,
ICDHyp,,
ICDHyrm,132605.0302,11
IDHPOXOX2b,,
IDHPOXOX3,,
IDHPOXOX4,,
IDHPOXOXb,,
IDOAASE1ly,,
IDOAASE2ly,,
IDOAASE3ly,,
IDOAASE4ly,,
IDOURtly,,
IDPtn,,
ILEt4,,
ILEt5m,,
ILETAm,3870000,2
ILEtec,,
IMACTD_m,,
INOSTO,,
INSKm,,
INSt,,
INSt4,,
INStl,,
INStm,,
INSTt2r,,
INSTt4,,
IPDDIx,17302.5,10
IPDPtr,,
IPDPtx,,
It,,
ITCOAL1m,657900,18
ITCOALm,177628.7752,11
ITPtn,,
KAS8,,
KCC2t,,
KCCt,,
KDNH,,
KHK,,
KHK2,,
KHK3,,
KSII_CORE2t,,
KSII_CORE2tly,,
KSII_CORE4t,,
KSII_CORE4tly,,
KSIt,,
KSItly,,
Kt3g,,
KYN,,
KYN3OX,,
KYNAKGAT,,
KYNATESYN,,
LACZe,,
LACZly,,
LALDO,550800,5
LALDO2x,,
LAPCOAl,,
LCADi_D,,
LCADi_Dm,,
LCADim,,
LCAT1e,,
LCTStg,,
LCTStl,,
LCYSTAT,2412000,5
LCYSTATm,2412000,5
LCYSTCBOXL,,
LDH_Lm,641016,5
LEUKTRA4t,,
LEUKTRA4tr,,
LEUKTRB4t,,
LEUKTRB4tr,,
LEUKTRC4t,,
LEUKTRD4t,,
LEUKTRD4tr,,
LEUKTRE4t,,
LEUKTRF4t,,
LEUt4,,
LEUt5m,,
LEUTAm,1939518,14
LEUtec,,
LFORKYNHYD,,
LGNCCOAtx,,
LGNCCPT1,5225400,17
LGNCCPT2,,
LGNCCRNt,,
LGNCt,,
LIMNENte,,
LINKDEG1ly,,
LINKDEG2ly,,
LINKDEG3ly,,
LINKDEG4ly,,
LIPOti,,
L_LACDcm,,
L_LACtcm,,
L_LACtm,,
LNELDCCPT1,5225400,17
LNELDCCPT2,,
LNELDCCRNt,3916800,8
LNELDCt,,
LNLCCPT1,5225400,17
LNLCCPT2,,
LNLCCRNt,,
LNLCt,,
LNLNCACPT1,5225400,17
LNLNCACPT2,,
LNLNCACRNt,,
LNLNCAt,,
LNLNCGCPT1,5225400,17
LNLNCGCPT2,29406.78566,20
LNLNCGCRNt,,
LNLNCGt,,
LNS14DM,,
LNSTLSr,,
LPASE,,
LPCHOLt,,
LPCOXp,,
LPS,,
LPS2,,
LPS2e,,
LPS3,,
LPS3e,,
LPS4e,,
LPSe,,
LRAT,,
LRAT1,,
LRAT2,,
LS3,,
LSTO1r,,
LSTO2r,,
LTA4H,,
LTC4CP,4140000,9
LTC4Sr,,
LTD4DP,4140000,9
LTDCL,,
LYSMTF1n,,
LYSMTF2n,,
LYSMTF3n,,
LYSOXp,,
LYSt4,,
LYStiDF,,
LYStip,,
LYStm,,
LYStn,,
M1316Mg,,
M13N2Tg,,
M13N4Tg,,
M14NTg,,
M16N4Tg,,
M16N6Tg,,
M16NTg,,
M4ATAer,,
M4BET2er,,
M4BTAer,,
M4CET3er,,
M4MPDOL_Lter,,
M4MPDOL_Uter,,
M7MASNBterg,,
M8MASNterg,,
MACACI,,
MACOXO,,
MAGt,,
MALSO3tm,,
MALSO4tm,,
MALTe,,
MALTly,,
MALtm,,
MALTSULtm,,
MALTt1r,,
MAN1_6B1er,,
MAN1_7Ber,,
MAN2_6B1er,,
MAN2_7Cer,,
MANt1r,,
MANter,,
MANtg,,
MANtly,,
MAOLNOR,,
MAOX,,
MCCCrm,14400,7
MCD,,
MCDm,,
MCDp,,
MCITS,,
MCLACCYSR,,
MCLOR,600030,5
MCOATAm,1.692,11
MCPST,,
MDHm,124529075.6,5
MDRPD,,
ME1m,,
ME2,,
ME2m,,
MECOALm,174231.3295,11
MECOAS1m,657900,18
MELATN23DOX,,
MELATNOX,,
MEOHt2,,
MEOHtly,,
MEOHtr,,
MEPIVESSte,,
MERCPLACCYSt,,
MESCOALm,,
METAT,,
METLEUex,,
METS,,
METt4,,
METtec,,
MEVK1x,,
MG1er,,
MG2er,,
MG3er,,
MGACONm,,
MGCHrm,216000,6
MGSA,,
MGSA2,,
MHISOR,,
MI13456PK,,
MI13456Ptn,,
MI1345PKn,,
MI1345PP,,
MI1346PKn,,
MI1346Ptn,,
MI134P4P,,
MI134PK,,
MI134PP,,
MI13PP,,
MI1456PKn,,
MI145P6Kn,,
MI145PK,,
MI145PKn,,
MI145PP,,
MI14P4P,,
MI14PP,,
MI14Ptn,,
MI1P_Dtn,,
MI1PS,,
MI3456PK,,
MI34PP,,
MINOHPtn,,
MLTG1,,
MLTG1e,,
MLTG1ly,,
MM5ag,,
MM5bg,,
MM5cg,,
MM6ag,,
MM6B1ag,,
MM6B1bg,,
MM6B2g,,
MM6bg,,
MM7Ag,,
MM7B1g,,
MM7B2g,,
MM7Cag,,
MM7Cbg,,
MM8Ag,,
MM8Ber,,
MM8Cg,,
MMCD,,
MMCDm,,
MMCDp,,
MMEm,10296000,12
MMMm,172800,6
MMSAD1m,,
MMSAD3m,,
MMTSADm,,
MOGAT,,
MTAP,,
MTHFCm,482400,9
MTHFD2m,23850.04493,9
MTHFDm,23873.68421,9
MTHGXLt,,
N2M2NMASNt,,
N2M2NMASNtly,,
N3Tg,,
N4Tg,,
NABTNO,,
NABTNOm,,
NACASPAH,,
NACASPtm,,
NACHEX10ly,,
NACHEX11ly,,
NACHEX12ly,,
NACHEX13ly,,
NACHEX14ly,,
NACHEX15ly,,
NACHEX16ly,,
NACHEX17ly,,
NACHEX18ly,,
NACHEX19ly,,
NACHEX1ly,,
NACHEX20ly,,
NACHEX21ly,,
NACHEX22ly,,
NACHEX23ly,,
NACHEX24ly,,
NACHEX25ly,,
NACHEX26ly,,
NACHEX27ly,,
NACHEX2ly,,
NACHEX3ly,,
NACHEX4ly,,
NACHEX5ly,,
NACHEX6ly,,
NACHEX7ly,,
NACHEX8ly,,
NACHEX9ly,,
NACHEXA10ly,,
NACHEXA11ly,,
NACHEXA12ly,,
NACHEXA13ly,,
NACHEXA14ly,,
NACHEXA15ly,,
NACHEXA16ly,,
NACHEXA17ly,,
NACHEXA18ly,,
NACHEXA19ly,,
NACHEXA1ly,,
NACHEXA20ly,,
NACHEXA21ly,,
NACHEXA22ly,,
NACHEXA2ly,,
NACHEXA3ly,,
NACHEXA4ly,,
NACHEXA5ly,,
NACHEXA6ly,,
NACHEXA7ly,,
NACHEXA8ly,,
NACHEXA9ly,,
NACUP,,
NADHtpu,,
NADHtru,,
NADNe,,
NADPHtru,,
NADPHtxu,,
NADPN,,
NADPNe,,
NADPtru,,
NADPtxu,,
NADtn,,
NADtpu,,
NADtru,,
NAGA2ly,,
NAGAlby,,
NAGAly,,
NAGLCAly,,
NAHCO3_HCLt,,
NAIt,,
NaKt,,
NAt,,
NAt3_1g,,
NAt5,,
NAtx,,
NBAHH_ir,,
NCAMUP,,
NCCt,,
NCKt,,
NCNt,,
NDP10ex,,
NDP3ex,,
NDP6,,
NDP7er,,
NDP7ex,,
NDP7g,,
NDP8,,
NDP8ex,,
NDPK10,228358.8325,11
NDPK10m,228358.8325,11
NDPK10n,228358.8325,11
NDPK1m,114000,5
NDPK1n,114000,5
NDPK2m,236955.5095,11
NDPK2n,236955.5095,11
NDPK3m,483840,5
NDPK3n,483840,5
NDPK4m,,
NDPK4n,123240,5
NDPK5m,,
NDPK5n,229051.3695,11
NDPK6m,229541.9207,11
NDPK6n,229541.9207,11
NDPK7m,,
NDPK7n,262231.8766,11
NDPK8m,,
NDPK8n,235895.5926,11
NDPK9m,232740.1191,11
NDPK9n,232740.1191,11
NH4t3r,,
NH4tn,,
NH4tp,,
NICRNS,,
NICRNTtn,,
NIFEDIPINEte,,
NKCC2t,,
NKCCt,,
NMNATm,,
NMNATn,,
NMNATr,237240.7301,11
NMNS,,
NMNtn,,
NMPTRCOX,,
NNATm,,
NNATn,,
NNMT,,
NORANMT,,
NOS1,,
NOS2,,
NOt,,
NP1,,
NPTHLte,,
NRPPHRSFt,,
NRPPHRSULT,,
NRPPHRt4_2_r,,
NRPPHRtu,,
NRPPHRVESSEC,,
NRVNCCOAtx,,
NRVNCCPT1,5225400,17
NRVNCCPT2,84.96856213,8
NRVNCCRNt,8247.094885,20
NS26T2g,,
NS26Tg,,
NTD12,,
NTD1m,,
NTD2e,,
NTD2l,,
NTD2m,,
NTD3l,,
NTD4e,,
NTD4l,,
NTD5l,,
NTD5m,,
NTD6l,,
NTD7e,,
NTD7l,,
NTD8l,,
NTD9e,,
NTD9l,,
NTMELYStner,,
NTP3e,,
NTPP10,,
NTPP11,,
NTPP9,,
O16G1e,,
O16G2e,,
O2St,,
O2Stm,,
O2Stn,,
O2Stx,,
O2ter,,
