METABOLITE,REACTION,CONCENTRATION [M]
4hpro_LT[e],EX_4hpro_LT[e],0.00015252
Lcystin[e],EX_Lcystin[e],0.000207522
aqcobal[e],EX_aqcobal[e],3.68903e-09
arg_L[e],EX_arg_L[e],0.00114811
asn_L[e],EX_asn_L[e],0.000378444
asp_L[e],EX_asp_L[e],0.000150252
btn[e],EX_btn[e],8.18632e-07
ca2[e],EX_ca2[e],0.000423984
chol[e],EX_chol[e],2.14869e-05
cl[e],EX_cl[e],0.108772
fol[e],EX_fol[e],2.26552e-06
glc_D[e],EX_glc_D[e],0.0111012
gln_L[e],EX_gln_L[e],0.00205283
glu_L[e],EX_glu_L[e],0.000135934
gly[e],EX_gly[e],0.000133209
gthrd[e],EX_gthrd[e],3.25394e-06
hco3[e],EX_hco3[e],0.0238067
his_L[e],EX_his_L[e],9.66806e-05
ile_L[e],EX_ile_L[e],0.000381185
inost[e],EX_inost[e],0.000194272
k[e],EX_k[e],0.00536553
leu_L[e],EX_leu_L[e],0.000381185
lys_L[e],EX_lys_L[e],0.000218998
met_L[e],EX_met_L[e],0.000100529
na1[e],EX_na1[e],0.138053
ncam[e],EX_ncam[e],8.18867e-06
phe_L[e],EX_phe_L[e],9.08045e-05
pi[e],EX_pi[e],0.00563539
pnto_R[e],EX_pnto_R[e],1.04923e-06
pro_L[e],EX_pro_L[e],0.000173717
pydxn[e],EX_pydxn[e],4.86287e-06
ribflv[e],EX_ribflv[e],5.31406e-07
ser_L[e],EX_ser_L[e],0.00028547
so4[e],EX_so4[e],0.000405783
thm[e],EX_thm[e],2.96507e-06
thr_L[e],EX_thr_L[e],0.000167898
trp_L[e],EX_trp_L[e],2.44822e-05
tyr_L[e],EX_tyr_L[e],0.00011103
val_L[e],EX_val_L[e],0.000170721
