METABOLITE,REACTION,CONCENTRATION [M]
Lcystin[e],EX_Lcystin[e],9.99298e-05
arg_L[e],EX_arg_L[e],0.00059812
ca2[e],EX_ca2[e],0.00180422
chol[e],EX_chol[e],7.1623e-06
cl[e],EX_cl[e],0.126821
fol[e],EX_fol[e],2.26552e-06
glc_D[e],EX_glc_D[e],0.00555062
gln_L[e],EX_gln_L[e],0.00199808
hco3[e],EX_hco3[e],0.0261874
his_L[e],EX_his_L[e],0.000200353
ile_L[e],EX_ile_L[e],0.000396432
inost[e],EX_inost[e],1.11012e-05
k[e],EX_k[e],0.00536553
leu_L[e],EX_leu_L[e],0.000396432
lys_L[e],EX_lys_L[e],0.000396934
met_L[e],EX_met_L[e],0.000100529
na1[e],EX_na1[e],0.143936
ncam[e],EX_ncam[e],8.18867e-06
phe_L[e],EX_phe_L[e],0.000193716
pi[e],EX_pi[e],0.000884122
pnto_R[e],EX_pnto_R[e],4.19692e-06
pydxn[e],EX_pydxn[e],4.86287e-06
ribflv[e],EX_ribflv[e],2.65703e-07
so4[e],EX_so4[e],0.000811482
thm[e],EX_thm[e],2.96507e-06
thr_L[e],EX_thr_L[e],0.000402955
trp_L[e],EX_trp_L[e],4.89644e-05
tyr_L[e],EX_tyr_L[e],0.000198706
val_L[e],EX_val_L[e],0.000392659
